campus,site_id,tipo,zona,sensor,ano,t_relativo,footprint_excluido,pixels_validos,pct_construida
ascenty-osasco,ascenty-osasco,tratamento,0-0.5km,landsat,2024,4,True,855,84.6784
ascenty-osasco,ascenty-osasco,tratamento,0.5-1km,landsat,2017,-3,True,2618,84.7976
ascenty-osasco,ascenty-osasco,tratamento,0.5-1km,landsat,2018,-2,True,2618,83.3079
ascenty-osasco,ascenty-osasco,tratamento,0.5-1km,landsat,2019,-1,True,2618,81.7036
ascenty-osasco,ascenty-osasco,tratamento,0.5-1km,landsat,2020,0,True,2618,83.7662
ascenty-osasco,ascenty-osasco,tratamento,0.5-1km,landsat,2021,1,True,2618,87.1276
ascenty-osasco,ascenty-osasco,tratamento,0.5-1km,landsat,2022,2,True,2618,84.5684
ascenty-osasco,ascenty-osasco,tratamento,0.5-1km,landsat,2023,3,True,2618,82.3911
ascenty-osasco,ascenty-osasco,tratamento,0.5-1km,landsat,2024,4,True,2618,84.2246
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0-0.5km,landsat,2017,-3,False,861,87.2242
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0-0.5km,landsat,2018,-2,False,764,84.4241
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0-0.5km,landsat,2019,-1,False,869,83.3142
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0-0.5km,landsat,2020,0,False,781,84.8912
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0-0.5km,landsat,2021,1,False,874,86.7277
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0-0.5km,landsat,2022,2,False,874,86.7277
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0-0.5km,landsat,2023,3,False,874,84.7826
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0-0.5km,landsat,2024,4,False,874,86.1556
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0.5-1km,landsat,2017,-3,False,2616,73.7385
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0.5-1km,landsat,2018,-2,False,2606,68.9179
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0.5-1km,landsat,2019,-1,False,2616,67.737
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0.5-1km,landsat,2020,0,False,2549,73.3229
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0.5-1km,landsat,2021,1,False,2615,73.1931
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0.5-1km,landsat,2022,2,False,2618,72.5745
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0.5-1km,landsat,2023,3,False,2616,67.4312
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0.5-1km,landsat,2024,4,False,2618,68.8694
ascenty-paulinia,ascenty-paulinia,tratamento,0-0.5km,landsat,2016,-3,True,847,66.588
ascenty-paulinia,ascenty-paulinia,tratamento,0-0.5km,landsat,2017,-2,True,847,64.5809
ascenty-paulinia,ascenty-paulinia,tratamento,0-0.5km,landsat,2018,-1,True,847,60.0945
ascenty-paulinia,ascenty-paulinia,tratamento,0-0.5km,landsat,2019,0,True,847,70.0118
ascenty-paulinia,ascenty-paulinia,tratamento,0-0.5km,landsat,2020,1,True,847,72.8453
ascenty-paulinia,ascenty-paulinia,tratamento,0-0.5km,landsat,2021,2,True,847,73.5537
ascenty-paulinia,ascenty-paulinia,tratamento,0-0.5km,landsat,2022,3,True,847,72.6092
ascenty-paulinia,ascenty-paulinia,tratamento,0-0.5km,landsat,2023,4,True,847,71.0744
ascenty-paulinia,ascenty-paulinia,tratamento,0-0.5km,landsat,2024,5,True,847,76.1511
ascenty-paulinia,ascenty-paulinia,tratamento,0.5-1km,landsat,2016,-3,True,2610,59.5402
ascenty-paulinia,ascenty-paulinia,tratamento,0.5-1km,landsat,2017,-2,True,2610,60.2682
ascenty-paulinia,ascenty-paulinia,tratamento,0.5-1km,landsat,2018,-1,True,2610,64.4061
ascenty-paulinia,ascenty-paulinia,tratamento,0.5-1km,landsat,2019,0,True,2610,58.9655
ascenty-paulinia,ascenty-paulinia,tratamento,0.5-1km,landsat,2020,1,True,2610,62.4138
ascenty-paulinia,ascenty-paulinia,tratamento,0.5-1km,landsat,2021,2,True,2610,71.6475
ascenty-paulinia,ascenty-paulinia,tratamento,0.5-1km,landsat,2022,3,True,2610,68.0077
ascenty-paulinia,ascenty-paulinia,tratamento,0.5-1km,landsat,2023,4,True,2610,64.9042
ascenty-paulinia,ascenty-paulinia,tratamento,0.5-1km,landsat,2024,5,True,2610,71.2261
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0-0.5km,landsat,2016,-3,False,871,72.9047
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0-0.5km,landsat,2017,-2,False,871,73.8232
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0-0.5km,landsat,2018,-1,False,871,70.4937
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0-0.5km,landsat,2019,0,False,871,71.2974
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0-0.5km,landsat,2020,1,False,871,73.8232
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0-0.5km,landsat,2021,2,False,871,76.2342
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0-0.5km,landsat,2022,3,False,871,76.8083
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0-0.5km,landsat,2023,4,False,871,73.938
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0-0.5km,landsat,2024,5,False,871,74.7417
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0.5-1km,landsat,2016,-3,False,2627,53.6734
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0.5-1km,landsat,2017,-2,False,2627,54.8534
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0.5-1km,landsat,2018,-1,False,2627,52.4933
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0.5-1km,landsat,2019,0,False,2627,51.5797
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0.5-1km,landsat,2020,1,False,2627,52.2269
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0.5-1km,landsat,2021,2,False,2627,56.0335
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0.5-1km,landsat,2022,3,False,2627,54.3967
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0.5-1km,landsat,2023,4,False,2627,52.2269
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0.5-1km,landsat,2024,5,False,2627,57.2516
ascenty-sumare,ascenty-sumare,tratamento,0-0.5km,landsat,2014,-3,True,842,87.4109
ascenty-sumare,ascenty-sumare,tratamento,0-0.5km,landsat,2015,-2,True,842,88.5986
