campus,site_id,tipo,zona,sensor,classe_id,classe,pct_inicio,pct_fim,delta_pp
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0-0.5km,landsat,1,vegetacao_densa,3.8902,8.9245,5.0343
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0-0.5km,landsat,2,vegetacao_rala,31.0069,21.8535,-9.1533
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0-0.5km,landsat,3,solo_exposto_obras,2.4027,0.5721,-1.8307
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0-0.5km,landsat,4,construida_urbana,62.0709,68.5927,6.5217
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0-0.5km,landsat,5,agua,0.6293,0.0572,-0.5721
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0.5-1km,landsat,1,vegetacao_densa,5.496,10.8005,5.3045
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0.5-1km,landsat,2,vegetacao_rala,56.7216,50.1723,-6.5492
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0.5-1km,landsat,3,solo_exposto_obras,1.8384,0.2872,-1.5511
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0.5-1km,landsat,4,construida_urbana,35.5036,38.2804,2.7767
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0.5-1km,landsat,5,agua,0.4404,0.4596,0.0191
ascenty-vinhedo,ascenty-vinhedo,tratamento,0-0.5km,landsat,1,vegetacao_densa,14.6958,15.1008,0.4051
ascenty-vinhedo,ascenty-vinhedo,tratamento,0-0.5km,landsat,2,vegetacao_rala,54.4776,49.5096,-4.968
ascenty-vinhedo,ascenty-vinhedo,tratamento,0-0.5km,landsat,3,solo_exposto_obras,9.9311,2.5366,-7.3945
ascenty-vinhedo,ascenty-vinhedo,tratamento,0-0.5km,landsat,4,construida_urbana,19.69,31.9884,12.2984
ascenty-vinhedo,ascenty-vinhedo,tratamento,0-0.5km,landsat,5,agua,1.2055,0.8646,-0.3409
ascenty-vinhedo,ascenty-vinhedo,tratamento,0.5-1km,landsat,1,vegetacao_densa,8.0347,8.8632,0.8285
ascenty-vinhedo,ascenty-vinhedo,tratamento,0.5-1km,landsat,2,vegetacao_rala,72.0617,68.9595,-3.1021
ascenty-vinhedo,ascenty-vinhedo,tratamento,0.5-1km,landsat,3,solo_exposto_obras,2.5241,3.4489,0.9249
ascenty-vinhedo,ascenty-vinhedo,tratamento,0.5-1km,landsat,4,construida_urbana,15.6455,17.4759,1.8304
ascenty-vinhedo,ascenty-vinhedo,tratamento,0.5-1km,landsat,5,agua,1.7341,1.2524,-0.4817
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0-0.5km,landsat,1,vegetacao_densa,0.4005,2.0023,1.6018
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0-0.5km,landsat,2,vegetacao_rala,30.4348,29.5195,-0.9153
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0-0.5km,landsat,3,solo_exposto_obras,0.2288,0.1716,-0.0572
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0-0.5km,landsat,4,construida_urbana,68.0778,67.7918,-0.286
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0-0.5km,landsat,5,agua,0.8581,0.5149,-0.3432
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0.5-1km,landsat,1,vegetacao_densa,1.3193,1.7591,0.4398
