campus_id,lat,lon,dist_km,l1_dw,ano_referencia
exp-quantico-data-center,-29.681188947223834,-50.872197711908086,35,0.9322,2019
exp-quantico-data-center,-29.74625416625691,-50.81441793958868,35,1.0266,2019
exp-quantico-data-center,-29.822077480766897,-50.777934968414456,35,1.0467,2019
exp-quantico-data-center,-29.903509956938862,-50.76527622609535,35,1.0303,2019
exp-quantico-data-center,-29.985009048866726,-50.77736136232261,35,1.0635,2019
exp-quantico-data-center,-30.061014362604023,-50.81342441557655,35,1.0557,2019
exp-quantico-data-center,-30.12632820098512,-50.87105047481447,35,0.8206,2019
exp-quantico-data-center,-30.176474577936386,-50.946328556404126,35,1.0457,2019
exp-quantico-data-center,-30.208010973689913,-51.0341135562208,35,1.0107,2019
exp-quantico-data-center,-30.218769762071553,-51.1283808,35,0.8695,2019
exp-quantico-data-center,-30.208010973689913,-51.2226480437792,35,1.4953,2019
exp-quantico-data-center,-30.176474577936386,-51.31043304359588,35,1.3882,2019
exp-quantico-data-center,-30.12632820098512,-51.38571112518554,35,0.979,2019
exp-quantico-data-center,-29.985009048866726,-51.479400237677396,35,1.1743,2019
exp-quantico-data-center,-29.903509956938862,-51.49148537390465,35,1.0152,2019
exp-quantico-data-center,-29.822077480766897,-51.47882663158555,35,0.9786,2019
exp-quantico-data-center,-29.74625416625691,-51.442343660411325,35,1.0363,2019
exp-quantico-data-center,-29.681188947223834,-51.38456388809192,35,1.0047,2019
exp-quantico-data-center,-29.631291193985533,-51.3094394946732,35,0.9001,2019
exp-quantico-data-center,-29.599936806189227,-51.222074412776806,35,0.9167,2019
exp-quantico-data-center,-29.544278557632506,-51.1283808,40,0.9554,2019
exp-quantico-data-center,-29.556492811163814,-51.021348607952916,40,1.1094,2019
exp-quantico-data-center,-29.592311706259522,-50.92153678507441,40,0.7892,2019
exp-quantico-data-center,-29.649317565195048,-50.83569303033573,40,0.5855,2019
exp-quantico-data-center,-29.723657544405633,-50.76964692822639,40,1.0478,2019
exp-quantico-data-center,-29.8102977576161,-50.727918317468266,40,1.0233,2019
exp-quantico-data-center,-29.903357740671414,-50.713404566799625,40,1.0569,2019
exp-quantico-data-center,-29.996504731054923,-50.72716912150105,40,1.0633,2019
exp-quantico-data-center,-30.083382655432043,-50.76834926719249,40,1.0247,2019
exp-quantico-data-center,-30.158047360583538,-50.834194595906354,40,0.8221,2019
exp-quantico-data-center,-30.21537795290639,-50.92023908154408,40,1.0441,2019
exp-quantico-data-center,-30.25143457406157,-51.020599369489275,40,1.006,2019
exp-quantico-data-center,-30.26373584236749,-51.1283808,40,1.4415,2019
exp-quantico-data-center,-30.25143457406157,-51.23616223051073,40,1.9753,2019
exp-quantico-data-center,-30.21537795290639,-51.33652251845592,40,1.358,2019
exp-quantico-data-center,-30.158047360583538,-51.42256700409365,40,1.0179,2019
exp-quantico-data-center,-29.996504731054923,-51.529592478498955,40,1.0609,2019
exp-quantico-data-center,-29.903357740671414,-51.54335703320038,40,1.0062,2019
exp-quantico-data-center,-29.8102977576161,-51.52884328253174,40,1.0169,2019
exp-quantico-data-center,-29.723657544405633,-51.48711467177361,40,0.809,2019
exp-quantico-data-center,-29.649317565195048,-51.42106856966427,40,0.8459,2019
exp-quantico-data-center,-29.592311706259522,-51.335224814925596,40,0.8011,2019
exp-quantico-data-center,-29.556492811163814,-51.23541299204709,40,0.9124,2019
