campus_id,pais,lat,lon,n_predios,nome,operadora,municipio,uf,ano_operacional,fonte,origem_data,no_estudo_atual,tem_data,pct_veg_densa,pct_veg_rala,pct_solo_exposto,pct_construida,pct_agua,lst_campus,lst_referencia,anomalia_termica_c,frac_built_inicio,greenfield
br-0035,BR,-15.85834223206172,-47.89905002324178,1,COPE-P Brasilia,Telebras,Brasília,,,datacentermap,,False,False,18.98532839676057,19.567145687869417,14.089664688391679,47.357861226978336,0.0,33.872337113448474,31.725368860183472,2.146968253265001,,
br-0036,BR,-22.82647149440208,-43.17830367112702,1,COPE-S Rio de Janeiro,Telebras,Rio de Janeiro,,,datacentermap,,False,False,32.796375485145994,0.16294980390835542,0.0,34.53703956514188,32.50363514580376,28.810106715056907,28.47151165454655,0.33859506051035737,,
br-0037,BR,-25.449630417898035,-49.25978588386846,2,CWB-HN 01,Hosting Now,Curitiba,Paraná,2011.0,datacentermap,declarada_datacentermap,False,True,0.9061500829215705,0.0,0.0,99.09384991707843,0.0,29.11286053327233,28.73613793446558,0.3767225988067473,,
br-0038,BR,-23.64790284580196,-46.724367954992566,5,Locaweb Data Center Itapaiuna,Locaweb S/A,Sao Paulo,São Paulo,2001.0,datacentermap,declarada_datacentermap,False,True,4.950228206841333,0.8896175413614078,0.9816716292580504,85.55390533578841,7.624577286750797,31.878108336010694,30.92104771315017,0.9570606228605243,,
br-0039,BR,-29.6957946,-53.7978236,1,Avato Santa Maria,Ávato,Santa Maria,RS,,datacentermap,,False,False,9.159110689067491,0.6348795109744726,0.0,90.20600979995804,0.0,31.09385928019269,27.338573942661437,3.7552853375312516,,
br-0040,BR,-3.7344285,-38.5049194,1,Ultranet Telecom DC Fortaleza,Ultranet Telecom,Fortaleza,Aldelota,,datacentermap,,False,False,0.05452983146571277,0.0,0.0,99.94547016853429,0.0,37.0056235270406,32.77115285868821,4.234470668352387,,
br-0041,BR,-22.817232040312035,-47.03429181545609,3,Edge Connection - CPS01,Edge Connection,Campinas,Sao Paulo,2027.0,datacentermap,declarada_datacentermap,False,True,28.096259986365883,19.532162207037842,0.0,51.37758022875877,0.9939975778375031,32.07148734628698,31.439016316458517,0.6324710298284622,,
br-0042,BR,-1.41264568658525,-48.48808399344105,1,Elea BEL1,Elea Data Centers,Belém,,2027.0,datacentermap,declarada_datacentermap,False,True,14.92412328848777,2.0726986366122953,0.10604504652434998,70.59098028595491,12.306152742420677,39.04662455749378,34.00256703631168,5.044057521182097,,
br-0043,BR,-15.790905491638927,-47.90002027493925,8,Elea BSB1,Elea Data Centers,Brasilia,DF,,datacentermap+osm,,False,False,3.1156704921540563,39.353353055141675,2.9662770663381535,52.84445519434486,1.7202441920212563,35.01824266188384,31.435345464101957,3.5828971977818824,,
br-0044,BR,-25.4247684,-49.2811411,1,Elea CTA1,Elea Data Centers,Curitiba,Paraná,,datacentermap,,False,False,0.0,0.0,0.0,99.99135889120572,0.008641108794292092,27.75790066626475,27.652266051227226,0.10563461503752336,,
