site_id,tipo,pareado_com,sensor,raio_km,ano_inicio,ano_fim,n_anos,pixels_validos_mascara,virou_construida,virou_construida_via_solo,vegetacao_para_construida,pct_virou_construida,pct_virou_construida_via_solo,pct_vegetacao_para_construida
equinix-santana-parnaiba,tratamento,equinix-santana-parnaiba,landsat,0.5,2017,2023,7,830,19,5,17,2.289156626506024,0.6024096385542169,2.0481927710843375
equinix-santana-parnaiba,tratamento,equinix-santana-parnaiba,landsat,1.0,2017,2023,7,3397,80,13,74,2.355019134530468,0.3826906093612011,2.178392699440683
equinix-santana-parnaiba,tratamento,equinix-santana-parnaiba,landsat,2.0,2017,2023,7,13864,263,16,253,1.896999422965955,0.1154068090017311,1.824870167339873
equinix-santana-parnaiba,tratamento,equinix-santana-parnaiba,landsat,5.0,2017,2023,7,87151,1488,245,1226,1.7073814414062949,0.28112127227455797,1.4067537951371758
everest-goiania,tratamento,everest-goiania,landsat,0.5,2018,2024,7,876,7,0,7,0.7990867579908676,0.0,0.7990867579908676
everest-goiania,tratamento,everest-goiania,landsat,1.0,2018,2024,7,3509,37,6,36,1.0544314619549728,0.17098888572242804,1.0259333143345684
everest-goiania,tratamento,everest-goiania,landsat,2.0,2018,2024,7,14025,227,25,206,1.6185383244206775,0.17825311942959002,1.4688057040998217
everest-goiania,tratamento,everest-goiania,landsat,5.0,2018,2024,7,87641,1787,478,1630,2.039000011410185,0.5454068301365799,1.8598601111351993
hostdime-joao-pessoa,tratamento,hostdime-joao-pessoa,landsat,0.5,2014,2020,7,902,19,2,17,2.106430155210643,0.22172949002217296,1.8847006651884701
hostdime-joao-pessoa,tratamento,hostdime-joao-pessoa,landsat,1.0,2014,2020,7,3414,70,3,65,2.050380785002929,0.08787346221441125,1.903925014645577
hostdime-joao-pessoa,tratamento,hostdime-joao-pessoa,landsat,2.0,2014,2020,7,11175,274,10,259,2.451901565995526,0.0894854586129754,2.3176733780760626
hostdime-joao-pessoa,tratamento,hostdime-joao-pessoa,landsat,5.0,2014,2020,7,71402,1333,100,1238,1.8668944847483264,0.1400520993809697,1.733844990336405
scala-sgigsm01,tratamento,scala-sgigsm01,s2,0.5,2019,2025,7,7849,383,234,31,4.8796024971333924,2.9812714995540834,0.3949547713084469
scala-sgigsm01,tratamento,scala-sgigsm01,s2,1.0,2019,2025,7,31402,1472,977,113,4.687599515954398,3.1112667982931024,0.35984969110247755
scala-sgigsm01,tratamento,scala-sgigsm01,s2,2.0,2019,2025,7,125649,4820,3032,533,3.836083056769254,2.413071333635763,0.42419756623610216
scala-sgigsm01,tratamento,scala-sgigsm01,s2,5.0,2019,2025,7,785299,21973,12903,2099,2.7980425290239768,1.6430684363535417,0.2672867277304568
scala-spoapa01,tratamento,scala-spoapa01,s2,0.5,2020,2025,6,7916,333,178,7,4.2066700353714,2.248610409297625,0.08842849924204144
scala-spoapa01,tratamento,scala-spoapa01,s2,1.0,2020,2025,6,31676,1502,773,29,4.741760323273141,2.44033337542619,0.09155196363177169
scala-spoapa01,tratamento,scala-spoapa01,s2,2.0,2020,2025,6,126675,4502,2350,151,3.553976712058417,1.8551411091375567,0.11920268403394514
scala-spoapa01,tratamento,scala-spoapa01,s2,5.0,2020,2025,6,791543,22008,12143,1449,2.780392221269091,1.5340922729403204,0.18306017487363288
scala-tambore,tratamento,scala-tambore,landsat,0.5,2018,2024,7,870,21,0,21,2.413793103448276,0.0,2.413793103448276
scala-tambore,tratamento,scala-tambore,landsat,1.0,2018,2024,7,3491,92,2,89,2.6353480378115153,0.057290174735032943,2.5494127757089657
scala-tambore,tratamento,scala-tambore,landsat,2.0,2018,2024,7,13941,232,9,218,1.6641560863639624,0.0645577792123951,1.5637328742557923
scala-tambore,tratamento,scala-tambore,landsat,5.0,2018,2024,7,86868,1282,290,1018,1.475802366809412,0.33383984896624763,1.171892987060828
