site_id,tipo,pareado_com,municipio,uf,ano,lst_media_celsius,lst_mediana_celsius,lst_desvio_celsius,lst_n_cenas,fonte,colecao_gee,data_extracao
ascenty-vinhedo,tratamento,ascenty-vinhedo,Vinhedo,SP,2019,28.7315,28.8064,4.3648,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-vinhedo,tratamento,ascenty-vinhedo,Vinhedo,SP,2020,29.631,29.7284,3.8049,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-vinhedo,tratamento,ascenty-vinhedo,Vinhedo,SP,2021,28.7235,29.3859,4.0962,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-vinhedo,tratamento,ascenty-vinhedo,Vinhedo,SP,2022,27.393,28.0248,3.4379,41,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-clickip-manaus-p01,controle,clickip-manaus,Iranduba,AM,2020,28.0803,28.7332,3.8237,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-clickip-manaus-p01,controle,clickip-manaus,Iranduba,AM,2021,28.3575,28.5653,2.058,39,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-clickip-manaus-p01,controle,clickip-manaus,Iranduba,AM,2022,28.4326,28.4237,2.038,39,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-clickip-manaus-p01,controle,clickip-manaus,Iranduba,AM,2023,29.6777,29.19,2.5209,37,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-clickip-manaus-p01,controle,clickip-manaus,Iranduba,AM,2024,29.225,28.9743,2.1389,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-clickip-manaus-p01,controle,clickip-manaus,Iranduba,AM,2025,27.4376,27.3182,1.2131,42,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
clickip-manaus,tratamento,clickip-manaus,Manaus,AM,2020,35.4074,36.0882,3.1055,30,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
clickip-manaus,tratamento,clickip-manaus,Manaus,AM,2021,34.1382,35.1558,4.1034,29,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
clickip-manaus,tratamento,clickip-manaus,Manaus,AM,2022,33.791,34.7884,2.9497,29,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
clickip-manaus,tratamento,clickip-manaus,Manaus,AM,2023,34.6491,35.8832,3.2152,27,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
clickip-manaus,tratamento,clickip-manaus,Manaus,AM,2024,34.2131,34.8068,2.1186,32,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
clickip-manaus,tratamento,clickip-manaus,Manaus,AM,2025,30.1198,30.2912,3.426,35,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-equinix-santana-parnaiba-p01,controle,equinix-santana-parnaiba,Cajamar,SP,2017,24.8501,25.3905,3.76,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
