pareado_com,site_id,tipo,zona,raio_int_km,raio_ext_km,area_zona_ha,metodo_footprint,pixels_validos_mascara,virou_construida,virou_construida_via_solo,vegetacao_para_construida,n_pixels_footprint,pct_ja_construida,pct_virou_construida_fp,pct_construida_no_fim,pct_virou_construida,pct_virou_construida_via_solo,pct_vegetacao_para_construida
hostdime-joao-pessoa,ctrl-hostdime-joao-pessoa-p01,controle,1-2km,1.0,2.0,942.48,,10750,303,7,290,,,,,2.818604651162791,0.06511627906976744,2.697674418604651
scala-sgigsm01,scala-sgigsm01,tratamento,footprint,0.0,0.0,3.6565,osm_data_center_explicito,421,8,3,6,421.0,71.26,1.9,21.38,1.9002375296912113,0.7125890736342043,1.4251781472684086
scala-sgigsm01,scala-sgigsm01,tratamento,0-0.5km,0.0,0.5,78.54,,7849,383,234,31,,,,,4.8796024971333924,2.9812714995540834,0.3949547713084469
scala-sgigsm01,scala-sgigsm01,tratamento,0.5-1km,0.5,1.0,235.62,,23553,1089,743,82,,,,,4.623614826136798,3.1545875260051797,0.3481509786439095
scala-sgigsm01,scala-sgigsm01,tratamento,1-2km,1.0,2.0,942.48,,94247,3348,2055,420,,,,,3.552367714622216,2.180440756734962,0.44563752692393394
scala-sgigsm01,ctrl-scala-sgigsm01-p01,controle,0-0.5km,0.0,0.5,78.54,,7853,107,55,9,,,,,1.3625366102126575,0.7003692856233287,0.11460588310199923
scala-sgigsm01,ctrl-scala-sgigsm01-p01,controle,0.5-1km,0.5,1.0,235.62,,23563,322,168,45,,,,,1.3665492509442771,0.7129822178839706,0.1909773797903493
scala-sgigsm01,ctrl-scala-sgigsm01-p01,controle,1-2km,1.0,2.0,942.48,,94224,1761,953,226,,,,,1.868950585838003,1.0114195958566818,0.23985396501952794
scala-spoapa01,scala-spoapa01,tratamento,footprint,0.0,0.0,0.1073,osm_landuse_industrial,19,3,2,0,19.0,31.58,15.79,52.63,15.789473684210526,10.526315789473685,0.0
scala-spoapa01,scala-spoapa01,tratamento,0-0.5km,0.0,0.5,78.54,,7916,333,178,7,,,,,4.2066700353714,2.248610409297625,0.08842849924204144
scala-spoapa01,scala-spoapa01,tratamento,0.5-1km,0.5,1.0,235.62,,23760,1169,595,22,,,,,4.92003367003367,2.5042087542087543,0.09259259259259259
scala-spoapa01,scala-spoapa01,tratamento,1-2km,1.0,2.0,942.48,,94999,3000,1577,122,,,,,3.157927978189244,1.660017473868146,0.1284224044463626
scala-spoapa01,ctrl-scala-spoapa01-p01,controle,0-0.5km,0.0,0.5,78.54,,7910,310,114,7,,,,,3.9190897597977243,1.4412136536030342,0.08849557522123894
scala-spoapa01,ctrl-scala-spoapa01-p01,controle,0.5-1km,0.5,1.0,235.62,,23763,1016,399,28,,,,,4.275554433362791,1.6790809241257416,0.11783024028952574
scala-spoapa01,ctrl-scala-spoapa01-p01,controle,1-2km,1.0,2.0,942.48,,94977,3602,1635,162,,,,,3.7924971308843194,1.7214694083830822,0.17056761110584667
scala-tambore,scala-tambore,tratamento,footprint,0.0,0.0,1.938,osm_data_center_explicito,39,0,0,0,39.0,89.74,0.0,94.87,0.0,0.0,0.0
scala-tambore,scala-tambore,tratamento,0-0.5km,0.0,0.5,78.54,,870,21,0,21,,,,,2.413793103448276,0.0,2.413793103448276
scala-tambore,scala-tambore,tratamento,0.5-1km,0.5,1.0,235.62,,2621,71,2,68,,,,,2.7088897367417015,0.07630675314765356,2.594429607020221
scala-tambore,scala-tambore,tratamento,1-2km,1.0,2.0,942.48,,10450,140,7,129,,,,,1.3397129186602872,0.06698564593301436,1.2344497607655502
scala-tambore,ctrl-scala-tambore-p01,controle,0-0.5km,0.0,0.5,78.54,,873,2,0,2,,,,,0.2290950744558992,0.0,0.2290950744558992
scala-tambore,ctrl-scala-tambore-p01,controle,0.5-1km,0.5,1.0,235.62,,2620,30,0,30,,,,,1.1450381679389312,0.0,1.1450381679389312
scala-tambore,ctrl-scala-tambore-p01,controle,1-2km,1.0,2.0,942.48,,10473,64,8,59,,,,,0.6110951971736848,0.0763868996467106,0.5633533848944906
