site_id,municipio,uf,codigo_ibge,ano,populacao,tipo_estimativa,fonte,data_extracao
scala-spoapa01,Porto Alegre,RS,4314902,2021,1492530,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
scala-spoapa01,Porto Alegre,RS,4314902,2022,1332845,censo,"IBGE - Censo Demografico 2022, SIDRA tabela 9514 (Populacao residente)",2026-09-03
scala-spoapa01,Porto Alegre,RS,4314902,2024,1389322,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
scala-spoapa01,Porto Alegre,RS,4314902,2025,1388794,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
scala-tambore,Barueri,SP,3505708,2016,264935,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
scala-tambore,Barueri,SP,3505708,2017,267534,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
scala-tambore,Barueri,SP,3505708,2018,271306,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
scala-tambore,Barueri,SP,3505708,2019,274182,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
scala-tambore,Barueri,SP,3505708,2020,276982,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
scala-tambore,Barueri,SP,3505708,2021,279704,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
scala-tambore,Barueri,SP,3505708,2022,316473,censo,"IBGE - Censo Demografico 2022, SIDRA tabela 9514 (Populacao residente)",2026-09-03
scala-tambore,Barueri,SP,3505708,2024,330339,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
scala-tambore,Barueri,SP,3505708,2025,333737,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
