site_id,municipio,uf,codigo_ibge,ano,faixa_etaria_base,nivel_instrucao,populacao,percentual_do_total,fonte,data_extracao,origem_lista
ascenty-paulinia,Paulínia,SP,3536505,2010,10 anos ou mais,Total,70047.0,100.0,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-paulinia,Paulínia,SP,3536505,2022,18 anos ou mais,Fundamental completo e médio incompleto,9742.0,11.46,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-paulinia,Paulínia,SP,3536505,2022,18 anos ou mais,Médio completo e superior incompleto,32728.0,38.51,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-paulinia,Paulínia,SP,3536505,2022,18 anos ou mais,Sem instrução e fundamental incompleto,19269.0,22.68,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-paulinia,Paulínia,SP,3536505,2022,18 anos ou mais,Superior completo,23236.0,27.34,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-paulinia,Paulínia,SP,3536505,2022,18 anos ou mais,Total,84975.0,100.0,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-sumare,Sumaré,SP,3552403,2010,10 anos ou mais,Fundamental completo e médio incompleto,41611.0,20.17,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-sumare,Sumaré,SP,3552403,2010,10 anos ou mais,Médio completo e superior incompleto,58414.0,28.31,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-sumare,Sumaré,SP,3552403,2010,10 anos ou mais,Sem instrução e fundamental incompleto,92169.0,44.67,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-sumare,Sumaré,SP,3552403,2010,10 anos ou mais,Superior completo,12977.0,6.29,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-sumare,Sumaré,SP,3552403,2010,10 anos ou mais,Total,206311.0,100.0,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-sumare,Sumaré,SP,3552403,2022,18 anos ou mais,Fundamental completo e médio incompleto,32641.0,15.29,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-sumare,Sumaré,SP,3552403,2022,18 anos ou mais,Médio completo e superior incompleto,97609.0,45.73,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-sumare,Sumaré,SP,3552403,2022,18 anos ou mais,Sem instrução e fundamental incompleto,54968.0,25.75,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-sumare,Sumaré,SP,3552403,2022,18 anos ou mais,Superior completo,28211.0,13.22,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-sumare,Sumaré,SP,3552403,2022,18 anos ou mais,Total,213430.0,100.0,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-vinhedo,Vinhedo,SP,3556701,2010,10 anos ou mais,Fundamental completo e médio incompleto,8764.0,15.74,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-vinhedo,Vinhedo,SP,3556701,2010,10 anos ou mais,Médio completo e superior incompleto,15730.0,28.25,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-vinhedo,Vinhedo,SP,3556701,2010,10 anos ou mais,Sem instrução e fundamental incompleto,21395.0,38.43,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-vinhedo,Vinhedo,SP,3556701,2010,10 anos ou mais,Superior completo,9064.0,16.28,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-vinhedo,Vinhedo,SP,3556701,2010,10 anos ou mais,Total,55674.0,100.0,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-vinhedo,Vinhedo,SP,3556701,2022,18 anos ou mais,Fundamental completo e médio incompleto,7177.0,11.9,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-vinhedo,Vinhedo,SP,3556701,2022,18 anos ou mais,Médio completo e superior incompleto,22651.0,37.55,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-vinhedo,Vinhedo,SP,3556701,2022,18 anos ou mais,Sem instrução e fundamental incompleto,11822.0,19.6,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-vinhedo,Vinhedo,SP,3556701,2022,18 anos ou mais,Superior completo,18666.0,30.95,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-vinhedo,Vinhedo,SP,3556701,2022,18 anos ou mais,Total,60317.0,100.0,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
clickip-manaus,Manaus,AM,1302603,2010,10 anos ou mais,Fundamental completo e médio incompleto,260377.0,17.66,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
clickip-manaus,Manaus,AM,1302603,2010,10 anos ou mais,Médio completo e superior incompleto,480697.0,32.6,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
clickip-manaus,Manaus,AM,1302603,2010,10 anos ou mais,Sem instrução e fundamental incompleto,605576.0,41.07,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
clickip-manaus,Manaus,AM,1302603,2010,10 anos ou mais,Superior completo,112230.0,7.61,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
clickip-manaus,Manaus,AM,1302603,2010,10 anos ou mais,Total,1474404.0,100.0,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
clickip-manaus,Manaus,AM,1302603,2022,18 anos ou mais,Fundamental completo e médio incompleto,246123.0,16.67,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
clickip-manaus,Manaus,AM,1302603,2022,18 anos ou mais,Médio completo e superior incompleto,665518.0,45.08,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
clickip-manaus,Manaus,AM,1302603,2022,18 anos ou mais,Sem instrução e fundamental incompleto,306247.0,20.75,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
clickip-manaus,Manaus,AM,1302603,2022,18 anos ou mais,Superior completo,258300.0,17.5,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
clickip-manaus,Manaus,AM,1302603,2022,18 anos ou mais,Total,1476189.0,100.0,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
equinix-santana-parnaiba,Santana de Parnaíba,SP,3547304,2010,10 anos ou mais,Fundamental completo e médio incompleto,14857.0,16.16,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
equinix-santana-parnaiba,Santana de Parnaíba,SP,3547304,2010,10 anos ou mais,Médio completo e superior incompleto,22157.0,24.1,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
equinix-santana-parnaiba,Santana de Parnaíba,SP,3547304,2010,10 anos ou mais,Sem instrução e fundamental incompleto,36987.0,40.22,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
equinix-santana-parnaiba,Santana de Parnaíba,SP,3547304,2010,10 anos ou mais,Superior completo,15648.0,17.02,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
equinix-santana-parnaiba,Santana de Parnaíba,SP,3547304,2010,10 anos ou mais,Total,91952.0,100.0,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
equinix-santana-parnaiba,Santana de Parnaíba,SP,3547304,2022,18 anos ou mais,Fundamental completo e médio incompleto,12175.0,10.62,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
equinix-santana-parnaiba,Santana de Parnaíba,SP,3547304,2022,18 anos ou mais,Médio completo e superior incompleto,47163.0,41.13,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
equinix-santana-parnaiba,Santana de Parnaíba,SP,3547304,2022,18 anos ou mais,Sem instrução e fundamental incompleto,20660.0,18.02,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
equinix-santana-parnaiba,Santana de Parnaíba,SP,3547304,2022,18 anos ou mais,Superior completo,34672.0,30.24,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
equinix-santana-parnaiba,Santana de Parnaíba,SP,3547304,2022,18 anos ou mais,Total,114669.0,100.0,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
everest-goiania,Goiânia,GO,5208707,2010,10 anos ou mais,Fundamental completo e médio incompleto,205961.0,18.22,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
