site_id,tipo,pareado_com,ids_datacenter,n_predios_no_campus,municipio,uf,lat,lon,buffer_km,ano,ano_inicio_obra,ano_fim_obra,ano_relativo_ao_inicio_obra,fase,sensor,resolucao_m,pixels_validos,modelo_versao,area_ha_vegetacao_densa,area_ha_vegetacao_rala,area_ha_solo_exposto_obras,area_ha_construida_urbana,area_ha_agua,prop_vegetacao_densa,prop_vegetacao_rala,prop_solo_exposto_obras,prop_construida_urbana,prop_agua
ascenty-jundiai,tratamento,ascenty-jundiai,dc_1e8c6816f0,1,Jundiaí,SP,-23.191744,-46.974604,5.0,2016,2019,2019,-3,pre,landsat,30,110631,rf_v1.0-tuned,3081.15,4074.84,224.64,2518.11,58.05,0.309452,0.409252,0.022561,0.252904,0.00583
ascenty-jundiai,tratamento,ascenty-jundiai,dc_1e8c6816f0,1,Jundiaí,SP,-23.191744,-46.974604,5.0,2017,2019,2019,-2,pre,landsat,30,111431,rf_v1.0-tuned,3013.11,4092.93,219.15,2649.69,53.91,0.300446,0.408118,0.021852,0.264208,0.005376
ascenty-jundiai,tratamento,ascenty-jundiai,dc_1e8c6816f0,1,Jundiaí,SP,-23.191744,-46.974604,5.0,2018,2019,2019,-1,pre,landsat,30,111204,rf_v1.0-tuned,2754.27,4534.65,195.03,2472.84,51.57,0.275197,0.453086,0.019487,0.247077,0.005153
ascenty-jundiai,tratamento,ascenty-jundiai,dc_1e8c6816f0,1,Jundiaí,SP,-23.191744,-46.974604,5.0,2019,2019,2019,0,durante,landsat,30,111455,rf_v1.0-tuned,3480.3,4031.01,145.35,2320.65,53.64,0.346956,0.401857,0.01449,0.231349,0.005347
ascenty-jundiai,tratamento,ascenty-jundiai,dc_1e8c6816f0,1,Jundiaí,SP,-23.191744,-46.974604,5.0,2020,2019,2019,1,pos,landsat,30,111446,rf_v1.0-tuned,3441.42,4073.49,124.56,2332.08,58.59,0.343108,0.406125,0.012419,0.232507,0.005841
ascenty-jundiai,tratamento,ascenty-jundiai,dc_1e8c6816f0,1,Jundiaí,SP,-23.191744,-46.974604,5.0,2021,2019,2019,2,pos,landsat,30,111538,rf_v1.0-tuned,2610.54,4493.88,154.8,2730.6,48.6,0.260055,0.447668,0.015421,0.272015,0.004841
ascenty-jundiai,tratamento,ascenty-jundiai,dc_1e8c6816f0,1,Jundiaí,SP,-23.191744,-46.974604,5.0,2022,2019,2019,3,pos,landsat,30,111349,rf_v1.0-tuned,2931.57,4286.25,116.73,2639.43,47.43,0.292531,0.427709,0.011648,0.263379,0.004733
ctrl-ascenty-maracanau-p03,controle,ascenty-maracanau,,0,Caucaia,CE,-3.600568,-38.840375,5.0,2013,2014,2015,-1,pre,landsat,30,111556,rf_v1.0-tuned,3533.04,4239.99,964.62,969.84,332.55,0.351895,0.422308,0.096077,0.096597,0.033122
ctrl-ascenty-maracanau-p03,controle,ascenty-maracanau,,0,Caucaia,CE,-3.600568,-38.840375,5.0,2014,2014,2015,0,durante,landsat,30,111555,rf_v1.0-tuned,3461.31,4311.9,946.08,1013.58,307.08,0.344754,0.429474,0.094232,0.100955,0.030586
ctrl-ascenty-maracanau-p03,controle,ascenty-maracanau,,0,Caucaia,CE,-3.600568,-38.840375,5.0,2015,2014,2015,1,durante,landsat,30,111556,rf_v1.0-tuned,3145.68,4552.83,736.38,1159.02,446.13,0.313313,0.453467,0.073344,0.11544,0.044435
ctrl-ascenty-maracanau-p03,controle,ascenty-maracanau,,0,Caucaia,CE,-3.600568,-38.840375,5.0,2016,2014,2015,2,pos,landsat,30,111556,rf_v1.0-tuned,2731.32,4871.7,758.07,1260.18,418.77,0.272043,0.485227,0.075505,0.125515,0.04171
ctrl-ascenty-maracanau-p03,controle,ascenty-maracanau,,0,Caucaia,CE,-3.600568,-38.840375,5.0,2017,2014,2015,3,pos,landsat,30,111556,rf_v1.0-tuned,2909.16,4624.38,672.57,1409.31,424.62,0.289756,0.460594,0.066989,0.140369,0.042293
ascenty-maracanau,tratamento,ascenty-maracanau,,0,Maracanaú,CE,-3.830803,-38.611253,5.0,2013,2014,2015,-1,pre,landsat,30,111769,rf_v1.0-tuned,1766.61,2708.46,119.52,5271.39,193.23,0.175621,0.269252,0.011882,0.524036,0.019209
ascenty-maracanau,tratamento,ascenty-maracanau,,0,Maracanaú,CE,-3.830803,-38.611253,5.0,2014,2014,2015,0,durante,landsat,30,111580,rf_v1.0-tuned,1801.08,2562.48,95.58,5399.01,184.05,0.179351,0.255171,0.009518,0.537632,0.018328
ascenty-maracanau,tratamento,ascenty-maracanau,,0,Maracanaú,CE,-3.830803,-38.611253,5.0,2015,2014,2015,1,durante,landsat,30,111627,rf_v1.0-tuned,1422.09,2721.51,110.61,5562.72,229.5,0.141552,0.270893,0.01101,0.553701,0.022844
ascenty-maracanau,tratamento,ascenty-maracanau,,0,Maracanaú,CE,-3.830803,-38.611253,5.0,2016,2014,2015,2,pos,landsat,30,111889,rf_v1.0-tuned,992.07,2895.66,92.97,5853.15,236.16,0.098517,0.287553,0.009232,0.581246,0.023452
ascenty-maracanau,tratamento,ascenty-maracanau,,0,Maracanaú,CE,-3.830803,-38.611253,5.0,2017,2014,2015,3,pos,landsat,30,111887,rf_v1.0-tuned,1278.0,2609.73,115.83,5835.87,230.4,0.126914,0.259163,0.011503,0.57954,0.02288
ctrl-ascenty-osasco-p01,controle,ascenty-osasco,dc_363da00599;dc_f7606e1e75,2,Itapevi,SP,-23.529577,-46.928574,5.0,2017,2020,2023,-3,pre,landsat,30,110913,rf_v1.0-tuned,2136.15,2695.32,73.08,5030.46,47.16,0.213997,0.270013,0.007321,0.503945,0.004724
ctrl-ascenty-osasco-p01,controle,ascenty-osasco,dc_363da00599;dc_f7606e1e75,2,Itapevi,SP,-23.529577,-46.928574,5.0,2018,2020,2023,-2,pre,landsat,30,111257,rf_v1.0-tuned,2182.95,2732.31,102.24,4955.67,39.96,0.218009,0.272873,0.010211,0.494917,0.003991
ctrl-ascenty-osasco-p01,controle,ascenty-osasco,dc_363da00599;dc_f7606e1e75,2,Itapevi,SP,-23.529577,-46.928574,5.0,2019,2020,2023,-1,pre,landsat,30,111392,rf_v1.0-tuned,2591.55,2492.28,81.0,4814.82,45.63,0.258502,0.2486,0.00808,0.480268,0.004551
ctrl-ascenty-osasco-p01,controle,ascenty-osasco,dc_363da00599;dc_f7606e1e75,2,Itapevi,SP,-23.529577,-46.928574,5.0,2020,2020,2023,0,durante,landsat,30,110931,rf_v1.0-tuned,2231.73,2666.88,108.0,4906.44,70.74,0.223535,0.267121,0.010818,0.491441,0.007085
ctrl-ascenty-osasco-p01,controle,ascenty-osasco,dc_363da00599;dc_f7606e1e75,2,Itapevi,SP,-23.529577,-46.928574,5.0,2021,2020,2023,1,durante,landsat,30,111528,rf_v1.0-tuned,2274.84,2400.75,144.18,5167.08,50.67,0.226634,0.239178,0.014364,0.514777,0.005048
