site_id,municipio,uf,codigo_ibge,ano,emprego_formal_total,pessoal_ocupado_total,numero_empresas,fonte,data_extracao
odata-hortolandia,Hortolândia,SP,3519071,2020,46849,53067,5044,"IBGE - SIDRA tabela 1685 (CEMPRE (serie encerrada em 2021)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
odata-hortolandia,Hortolândia,SP,3519071,2021,48701,55322,5502,"IBGE - SIDRA tabela 1685 (CEMPRE (serie encerrada em 2021)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
odata-hortolandia,Hortolândia,SP,3519071,2022,52612,63078,8386,"IBGE - SIDRA tabela 9509 (CEMPRE (metodologia atual)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
odata-hortolandia,Hortolândia,SP,3519071,2023,56564,67732,9002,"IBGE - SIDRA tabela 9509 (CEMPRE (metodologia atual)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
odata-hortolandia,Hortolândia,SP,3519071,2024,58099,69827,9701,"IBGE - SIDRA tabela 9509 (CEMPRE (metodologia atual)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
scala-sgigsm01,São João de Meriti,RJ,3305109,2016,57188,64916,5270,"IBGE - SIDRA tabela 1685 (CEMPRE (serie encerrada em 2021)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
scala-sgigsm01,São João de Meriti,RJ,3305109,2017,54693,62292,5185,"IBGE - SIDRA tabela 1685 (CEMPRE (serie encerrada em 2021)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
scala-sgigsm01,São João de Meriti,RJ,3305109,2018,53650,60853,4907,"IBGE - SIDRA tabela 1685 (CEMPRE (serie encerrada em 2021)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
scala-sgigsm01,São João de Meriti,RJ,3305109,2019,54378,61437,5069,"IBGE - SIDRA tabela 1685 (CEMPRE (serie encerrada em 2021)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
scala-sgigsm01,São João de Meriti,RJ,3305109,2020,50672,57378,4909,"IBGE - SIDRA tabela 1685 (CEMPRE (serie encerrada em 2021)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
scala-sgigsm01,São João de Meriti,RJ,3305109,2021,51990,58691,5077,"IBGE - SIDRA tabela 1685 (CEMPRE (serie encerrada em 2021)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
scala-sgigsm01,São João de Meriti,RJ,3305109,2022,54023,65538,8888,"IBGE - SIDRA tabela 9509 (CEMPRE (metodologia atual)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
scala-sgigsm01,São João de Meriti,RJ,3305109,2023,62684,74324,9182,"IBGE - SIDRA tabela 9509 (CEMPRE (metodologia atual)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
scala-sgigsm01,São João de Meriti,RJ,3305109,2024,60793,72323,9209,"IBGE - SIDRA tabela 9509 (CEMPRE (metodologia atual)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
scala-spoapa01,Porto Alegre,RS,4314902,2016,709997,819865,82365,"IBGE - SIDRA tabela 1685 (CEMPRE (serie encerrada em 2021)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
scala-spoapa01,Porto Alegre,RS,4314902,2017,685467,795011,81222,"IBGE - SIDRA tabela 1685 (CEMPRE (serie encerrada em 2021)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
scala-spoapa01,Porto Alegre,RS,4314902,2018,678387,784708,80124,"IBGE - SIDRA tabela 1685 (CEMPRE (serie encerrada em 2021)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
scala-spoapa01,Porto Alegre,RS,4314902,2019,673982,785806,85956,"IBGE - SIDRA tabela 1685 (CEMPRE (serie encerrada em 2021)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
scala-spoapa01,Porto Alegre,RS,4314902,2020,637650,753720,87459,"IBGE - SIDRA tabela 1685 (CEMPRE (serie encerrada em 2021)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
scala-spoapa01,Porto Alegre,RS,4314902,2021,644623,764557,90258,"IBGE - SIDRA tabela 1685 (CEMPRE (serie encerrada em 2021)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
scala-spoapa01,Porto Alegre,RS,4314902,2022,660355,843244,136102,"IBGE - SIDRA tabela 9509 (CEMPRE (metodologia atual)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
scala-spoapa01,Porto Alegre,RS,4314902,2023,683450,874230,141750,"IBGE - SIDRA tabela 9509 (CEMPRE (metodologia atual)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
scala-spoapa01,Porto Alegre,RS,4314902,2024,699207,892726,146301,"IBGE - SIDRA tabela 9509 (CEMPRE (metodologia atual)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
