pareado_com,site_id,tipo,zona,sensor,ano,t_relativo,footprint_excluido,pixels_validos,pct_construida
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0-0.5km,landsat,2021,2,False,875,36.8
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0-0.5km,landsat,2022,3,False,875,24.6857
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0.5-1km,landsat,2016,-3,False,2628,32.1157
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0.5-1km,landsat,2017,-2,False,2628,34.6651
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0.5-1km,landsat,2018,-1,False,2628,34.0563
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0.5-1km,landsat,2019,0,False,2628,29.9848
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0.5-1km,landsat,2020,1,False,2628,31.3927
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0.5-1km,landsat,2021,2,False,2628,41.933
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0.5-1km,landsat,2022,3,False,2628,32.8006
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,1-2km,landsat,2016,-3,False,10458,33.4863
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,1-2km,landsat,2017,-2,False,10458,34.978
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,1-2km,landsat,2018,-1,False,10458,32.5014
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,1-2km,landsat,2019,0,False,10458,30.4743
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,1-2km,landsat,2020,1,False,10458,29.5659
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,1-2km,landsat,2021,2,False,10458,40.8682
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,1-2km,landsat,2022,3,False,10458,34.3278
ascenty-jundiai,ascenty-jundiai,tratamento,0-0.5km,landsat,2016,-3,True,855,46.3158
ascenty-jundiai,ascenty-jundiai,tratamento,0-0.5km,landsat,2017,-2,True,855,50.9942
ascenty-jundiai,ascenty-jundiai,tratamento,0-0.5km,landsat,2018,-1,True,855,51.462
ascenty-jundiai,ascenty-jundiai,tratamento,0-0.5km,landsat,2019,0,True,855,50.8772
ascenty-jundiai,ascenty-jundiai,tratamento,0-0.5km,landsat,2020,1,True,855,49.5906
ascenty-jundiai,ascenty-jundiai,tratamento,0-0.5km,landsat,2021,2,True,855,53.5673
ascenty-jundiai,ascenty-jundiai,tratamento,0-0.5km,landsat,2022,3,True,855,51.2281
ascenty-jundiai,ascenty-jundiai,tratamento,0.5-1km,landsat,2016,-3,True,2609,44.1165
ascenty-jundiai,ascenty-jundiai,tratamento,0.5-1km,landsat,2017,-2,True,2609,46.3013
ascenty-jundiai,ascenty-jundiai,tratamento,0.5-1km,landsat,2018,-1,True,2609,44.2315
ascenty-jundiai,ascenty-jundiai,tratamento,0.5-1km,landsat,2019,0,True,2609,46.6079
ascenty-jundiai,ascenty-jundiai,tratamento,0.5-1km,landsat,2020,1,True,2598,47.729
ascenty-jundiai,ascenty-jundiai,tratamento,0.5-1km,landsat,2021,2,True,2608,50.7285
ascenty-jundiai,ascenty-jundiai,tratamento,0.5-1km,landsat,2022,3,True,2609,52.0889
ascenty-jundiai,ascenty-jundiai,tratamento,1-2km,landsat,2016,-3,True,10493,30.0581
