site_id,tipo,pareado_com,municipio,uf,codigo_ibge,ano,populacao,populacao_tipo_estimativa,emprego_formal_total,pessoal_ocupado_total,numero_empresas,pib_mil_reais,municipio_compartilhado_com_par,data_extracao
ctrl-ascenty-sumare-p01,controle,ascenty-sumare,Indaiatuba,SP,3520509,2019,251627.0,estimativa_intercensitaria,77260.0,90458.0,10719.0,16712153.0,False,2026-09-06
ctrl-ascenty-sumare-p01,controle,ascenty-sumare,Indaiatuba,SP,3520509,2020,256223.0,estimativa_intercensitaria,74364.0,89082.0,11575.0,18361067.0,False,2026-09-06
ascenty-sumare,tratamento,ascenty-sumare,Sumaré,SP,3552403,2014,,,54207.0,62056.0,6015.0,11646358.0,False,2026-09-06
ascenty-sumare,tratamento,ascenty-sumare,Sumaré,SP,3552403,2015,,,54008.0,61831.0,5832.0,12258170.0,False,2026-09-06
ascenty-sumare,tratamento,ascenty-sumare,Sumaré,SP,3552403,2016,269522.0,estimativa_intercensitaria,55230.0,62878.0,5800.0,12237213.0,False,2026-09-06
ascenty-sumare,tratamento,ascenty-sumare,Sumaré,SP,3552403,2017,273007.0,estimativa_intercensitaria,52747.0,60279.0,5750.0,13615800.0,False,2026-09-06
ascenty-sumare,tratamento,ascenty-sumare,Sumaré,SP,3552403,2018,278571.0,estimativa_intercensitaria,54288.0,61985.0,5947.0,14438510.0,False,2026-09-06
ascenty-sumare,tratamento,ascenty-sumare,Sumaré,SP,3552403,2019,282441.0,estimativa_intercensitaria,54015.0,61649.0,6163.0,14913287.0,False,2026-09-06
ascenty-sumare,tratamento,ascenty-sumare,Sumaré,SP,3552403,2020,286211.0,estimativa_intercensitaria,54139.0,62198.0,6449.0,13672590.0,False,2026-09-06
ctrl-ascenty-vinhedo-p02,controle,ascenty-vinhedo,Campinas,SP,3509502,2016,1173370.0,estimativa_intercensitaria,400781.0,462579.0,47742.0,57778152.0,False,2026-09-06
ctrl-ascenty-vinhedo-p02,controle,ascenty-vinhedo,Campinas,SP,3509502,2017,1182429.0,estimativa_intercensitaria,401356.0,462058.0,46483.0,58469540.0,False,2026-09-06
ctrl-ascenty-vinhedo-p02,controle,ascenty-vinhedo,Campinas,SP,3509502,2018,1194094.0,estimativa_intercensitaria,401348.0,461871.0,46943.0,61388555.0,False,2026-09-06
ctrl-ascenty-vinhedo-p02,controle,ascenty-vinhedo,Campinas,SP,3509502,2019,1204073.0,estimativa_intercensitaria,400552.0,464714.0,51008.0,65837258.0,False,2026-09-06
ctrl-ascenty-vinhedo-p02,controle,ascenty-vinhedo,Campinas,SP,3509502,2020,1213792.0,estimativa_intercensitaria,385683.0,452658.0,53005.0,65158382.0,False,2026-09-06
ctrl-ascenty-vinhedo-p02,controle,ascenty-vinhedo,Campinas,SP,3509502,2021,1223237.0,estimativa_intercensitaria,404030.0,474810.0,56149.0,72946910.0,False,2026-09-06
ctrl-ascenty-vinhedo-p02,controle,ascenty-vinhedo,Campinas,SP,3509502,2022,1139047.0,censo,420374.0,532090.0,82954.0,80646591.0,False,2026-09-06
ascenty-vinhedo,tratamento,ascenty-vinhedo,Vinhedo,SP,3556701,2016,73855.0,estimativa_intercensitaria,35123.0,39411.0,3397.0,8085038.0,False,2026-09-06
ascenty-vinhedo,tratamento,ascenty-vinhedo,Vinhedo,SP,3556701,2017,75129.0,estimativa_intercensitaria,34638.0,38925.0,3426.0,8704161.0,False,2026-09-06
