campus,site_id,tipo,zona,procedencia,sensor,footprint_excluido,pixels_validos_mascara,virou_construida,virou_construida_via_solo,vegetacao_para_construida,pct_virou_construida,pct_virou_construida_via_solo,pct_vegetacao_para_construida
exp-elea-rjo1,exp-elea-rjo1,tratamento,1-2km,datacentermap,landsat,True,10429,279,15,203,2.6752325246907662,0.1438297056285358,1.9464953495061847
exp-elea-rjo1,ctrl-exp-elea-rjo1-p02,controle,0-0.5km,datacentermap,landsat,False,874,4,0,4,0.4576659038901602,0.0,0.4576659038901602
exp-elea-rjo1,ctrl-exp-elea-rjo1-p02,controle,0.5-1km,datacentermap,landsat,False,2610,12,0,10,0.45977011494252873,0.0,0.3831417624521073
exp-elea-rjo1,ctrl-exp-elea-rjo1-p02,controle,1-2km,datacentermap,landsat,False,10483,37,2,33,0.3529523991223886,0.019078508060669654,0.3147953830010493
exp-asap-sp1,exp-asap-sp1,tratamento,0-0.5km,datacentermap,landsat,False,871,8,4,4,0.9184845005740528,0.4592422502870264,0.4592422502870264
exp-asap-sp1,exp-asap-sp1,tratamento,0.5-1km,datacentermap,landsat,True,2582,26,1,25,1.0069713400464757,0.038729666924864445,0.9682416731216111
exp-asap-sp1,exp-asap-sp1,tratamento,1-2km,datacentermap,landsat,False,10468,97,5,92,0.9266335498662591,0.04776461597248758,0.8788689338937715
exp-asap-sp1,ctrl-exp-asap-sp1-p01,controle,0-0.5km,datacentermap,landsat,False,871,9,1,9,1.0332950631458093,0.1148105625717566,1.0332950631458093
exp-asap-sp1,ctrl-exp-asap-sp1-p01,controle,0.5-1km,datacentermap,landsat,False,2622,22,5,19,0.8390541571319603,0.19069412662090007,0.7246376811594203
exp-asap-sp1,ctrl-exp-asap-sp1-p01,controle,1-2km,datacentermap,landsat,False,10376,193,12,185,1.8600616808018504,0.1156515034695451,1.7829606784888203
exp-idx-data-centers---it-services,exp-idx-data-centers---it-services,tratamento,0-0.5km,datacentermap,landsat,True,875,22,17,20,2.5142857142857142,1.9428571428571428,2.2857142857142856
exp-idx-data-centers---it-services,exp-idx-data-centers---it-services,tratamento,0.5-1km,datacentermap,landsat,True,2613,34,10,27,1.3011863758132416,0.3827018752391887,1.0332950631458093
exp-idx-data-centers---it-services,exp-idx-data-centers---it-services,tratamento,1-2km,datacentermap,landsat,False,10501,381,89,260,3.6282258832492142,0.8475383296828873,2.475954670983716
exp-idx-data-centers---it-services,ctrl-exp-idx-data-centers---it-services-p01,controle,0-0.5km,datacentermap,landsat,False,874,7,2,5,0.8009153318077803,0.2288329519450801,0.5720823798627003
exp-idx-data-centers---it-services,ctrl-exp-idx-data-centers---it-services-p01,controle,0.5-1km,datacentermap,landsat,False,2628,31,8,23,1.1796042617960427,0.30441400304414,0.8751902587519026
exp-idx-data-centers---it-services,ctrl-exp-idx-data-centers---it-services-p01,controle,1-2km,datacentermap,landsat,False,10488,370,44,318,3.5278413424866515,0.41952707856598015,3.0320366132723113
exp-to-host-data-centers,exp-to-host-data-centers,tratamento,0-0.5km,datacentermap,s2,True,7867,787,513,169,10.003813397737384,6.520910130926656,2.148214058726325
exp-to-host-data-centers,exp-to-host-data-centers,tratamento,0.5-1km,datacentermap,s2,False,23627,2118,1357,524,8.964320480805858,5.7434291276928935,2.2178016675836965
exp-to-host-data-centers,exp-to-host-data-centers,tratamento,1-2km,datacentermap,s2,False,94494,4604,2878,1454,4.872267022244799,3.0456960230279173,1.538722035261498
exp-to-host-data-centers,ctrl-exp-to-host-data-centers-p01,controle,0-0.5km,datacentermap,s2,False,7873,3,1,3,0.038104915534103896,0.012701638511367967,0.038104915534103896
exp-to-host-data-centers,ctrl-exp-to-host-data-centers-p01,controle,0.5-1km,datacentermap,s2,False,23618,69,20,53,0.292150055042764,0.0846811753747142,0.22440511474299263
exp-to-host-data-centers,ctrl-exp-to-host-data-centers-p01,controle,1-2km,datacentermap,s2,False,94488,236,79,162,0.24976716620099906,0.08360850055033443,0.1714503429006858
exp-netwise-empresas,exp-netwise-empresas,tratamento,0-0.5km,datacentermap,s2,False,7848,304,182,13,3.873598369011213,2.3190621814475025,0.1656472986748216
exp-netwise-empresas,exp-netwise-empresas,tratamento,0.5-1km,datacentermap,s2,True,22768,773,439,55,3.3951159522136334,1.9281447645818692,0.2415671117357695
exp-netwise-empresas,exp-netwise-empresas,tratamento,1-2km,datacentermap,s2,True,94084,2313,1291,229,2.4584413927979254,1.3721780536541814,0.2433995153267293
exp-netwise-empresas,ctrl-exp-netwise-empresas-p01,controle,0-0.5km,datacentermap,s2,False,7856,1,0,0,0.012729124236252547,0.0,0.0
exp-netwise-empresas,ctrl-exp-netwise-empresas-p01,controle,0.5-1km,datacentermap,s2,False,23534,2,0,1,0.008498342823149485,0.0,0.0042491714115747425
exp-netwise-empresas,ctrl-exp-netwise-empresas-p01,controle,1-2km,datacentermap,s2,False,94185,39,16,14,0.041407867494824016,0.016987843074799596,0.014864362690449646
