campus,site_id,tipo,zona,r_int,r_ext,pixels_validos,pct_virou_construida
scala-sgigsm01,scala-sgigsm01,tratamento,0-0.5km,0.0,0.5,7849,4.8796024971333924
scala-sgigsm01,scala-sgigsm01,tratamento,0.5-1km,0.5,1.0,23553,4.623614826136798
scala-sgigsm01,scala-sgigsm01,tratamento,1-2km,1.0,2.0,94247,3.552367714622216
scala-sgigsm01,scala-sgigsm01,tratamento,2-3km,2.0,3.0,157046,2.756517198782522
scala-sgigsm01,scala-sgigsm01,tratamento,3-5km,3.0,5.0,502604,2.5515117269261687
scala-sgigsm01,ctrl-scala-sgigsm01-p01,controle,0-0.5km,0.0,0.5,7853,1.3625366102126575
scala-sgigsm01,ctrl-scala-sgigsm01-p01,controle,0.5-1km,0.5,1.0,23563,1.3665492509442771
scala-sgigsm01,ctrl-scala-sgigsm01-p01,controle,1-2km,1.0,2.0,94224,1.868950585838003
scala-sgigsm01,ctrl-scala-sgigsm01-p01,controle,2-3km,2.0,3.0,157049,2.476297206604308
scala-sgigsm01,ctrl-scala-sgigsm01-p01,controle,3-5km,3.0,5.0,502548,1.6022350103870675
scala-spoapa01,scala-spoapa01,tratamento,0-0.5km,0.0,0.5,7916,4.2066700353714
scala-spoapa01,scala-spoapa01,tratamento,0.5-1km,0.5,1.0,23760,4.92003367003367
scala-spoapa01,scala-spoapa01,tratamento,1-2km,1.0,2.0,94999,3.157927978189244
scala-spoapa01,scala-spoapa01,tratamento,2-3km,2.0,3.0,158341,2.780075912113729
scala-spoapa01,scala-spoapa01,tratamento,3-5km,3.0,5.0,506527,2.5870289244206135
scala-spoapa01,ctrl-scala-spoapa01-p01,controle,0-0.5km,0.0,0.5,7910,3.9190897597977243
scala-spoapa01,ctrl-scala-spoapa01-p01,controle,0.5-1km,0.5,1.0,23763,4.275554433362791
scala-spoapa01,ctrl-scala-spoapa01-p01,controle,1-2km,1.0,2.0,94977,3.7924971308843194
scala-spoapa01,ctrl-scala-spoapa01-p01,controle,2-3km,2.0,3.0,158328,2.9243090293567784
scala-spoapa01,ctrl-scala-spoapa01-p01,controle,3-5km,3.0,5.0,506491,1.69993148940455
scala-tambore,scala-tambore,tratamento,0-0.5km,0.0,0.5,870,2.413793103448276
scala-tambore,scala-tambore,tratamento,0.5-1km,0.5,1.0,2621,2.7088897367417015
scala-tambore,scala-tambore,tratamento,1-2km,1.0,2.0,10450,1.3397129186602872
scala-tambore,scala-tambore,tratamento,2-3km,2.0,3.0,17137,1.7272568127443544
scala-tambore,scala-tambore,tratamento,3-5km,3.0,5.0,55790,1.3514966839935472
scala-tambore,ctrl-scala-tambore-p01,controle,0-0.5km,0.0,0.5,873,0.2290950744558992
scala-tambore,ctrl-scala-tambore-p01,controle,0.5-1km,0.5,1.0,2620,1.1450381679389312
scala-tambore,ctrl-scala-tambore-p01,controle,1-2km,1.0,2.0,10473,0.6110951971736848
scala-tambore,ctrl-scala-tambore-p01,controle,2-3km,2.0,3.0,17452,0.7907403162961265
scala-tambore,ctrl-scala-tambore-p01,controle,3-5km,3.0,5.0,55856,0.6606273274133486
exp-elea-rjo1,exp-elea-rjo1,tratamento,0-0.5km,0.0,0.5,872,1.146788990825688
exp-elea-rjo1,exp-elea-rjo1,tratamento,0.5-1km,0.5,1.0,2619,2.940053455517373
exp-elea-rjo1,exp-elea-rjo1,tratamento,1-2km,1.0,2.0,10474,2.749665839220928
exp-elea-rjo1,exp-elea-rjo1,tratamento,2-3km,2.0,3.0,17444,1.4618206833295115
exp-elea-rjo1,exp-elea-rjo1,tratamento,3-5km,3.0,5.0,55815,1.3920988981456597
exp-elea-rjo1,ctrl-exp-elea-rjo1-p02,controle,0-0.5km,0.0,0.5,874,0.4576659038901602
exp-elea-rjo1,ctrl-exp-elea-rjo1-p02,controle,0.5-1km,0.5,1.0,2610,0.45977011494252873
exp-elea-rjo1,ctrl-exp-elea-rjo1-p02,controle,1-2km,1.0,2.0,10483,0.3529523991223886
exp-elea-rjo1,ctrl-exp-elea-rjo1-p02,controle,2-3km,2.0,3.0,17225,0.26705370101596515
exp-elea-rjo1,ctrl-exp-elea-rjo1-p02,controle,3-5km,3.0,5.0,53356,0.46667666241847217
exp-asap-sp1,exp-asap-sp1,tratamento,0-0.5km,0.0,0.5,871,0.9184845005740528
exp-asap-sp1,exp-asap-sp1,tratamento,0.5-1km,0.5,1.0,2611,0.995787054768288
exp-asap-sp1,exp-asap-sp1,tratamento,1-2km,1.0,2.0,10468,0.9266335498662591
exp-asap-sp1,exp-asap-sp1,tratamento,2-3km,2.0,3.0,17272,1.540064844835572
exp-asap-sp1,exp-asap-sp1,tratamento,3-5km,3.0,5.0,55839,1.0709360840989273
exp-asap-sp1,ctrl-exp-asap-sp1-p01,controle,0-0.5km,0.0,0.5,871,1.0332950631458093
exp-asap-sp1,ctrl-exp-asap-sp1-p01,controle,0.5-1km,0.5,1.0,2622,0.8390541571319603
exp-asap-sp1,ctrl-exp-asap-sp1-p01,controle,1-2km,1.0,2.0,10376,1.8600616808018504
exp-asap-sp1,ctrl-exp-asap-sp1-p01,controle,2-3km,2.0,3.0,17390,1.270845313398505
exp-asap-sp1,ctrl-exp-asap-sp1-p01,controle,3-5km,3.0,5.0,55208,1.3530647732212724
exp-idx-data-centers---it-services,exp-idx-data-centers---it-services,tratamento,0-0.5km,0.0,0.5,876,2.5114155251141552
exp-idx-data-centers---it-services,exp-idx-data-centers---it-services,tratamento,0.5-1km,0.5,1.0,2620,1.297709923664122
exp-idx-data-centers---it-services,exp-idx-data-centers---it-services,tratamento,1-2km,1.0,2.0,10501,3.6282258832492142
exp-idx-data-centers---it-services,exp-idx-data-centers---it-services,tratamento,2-3km,2.0,3.0,17492,4.321975760347588
exp-idx-data-centers---it-services,exp-idx-data-centers---it-services,tratamento,3-5km,3.0,5.0,55767,3.640145605824233
exp-idx-data-centers---it-services,ctrl-exp-idx-data-centers---it-services-p01,controle,0-0.5km,0.0,0.5,874,0.8009153318077803
exp-idx-data-centers---it-services,ctrl-exp-idx-data-centers---it-services-p01,controle,0.5-1km,0.5,1.0,2628,1.1796042617960427
exp-idx-data-centers---it-services,ctrl-exp-idx-data-centers---it-services-p01,controle,1-2km,1.0,2.0,10488,3.5278413424866515
exp-idx-data-centers---it-services,ctrl-exp-idx-data-centers---it-services-p01,controle,2-3km,2.0,3.0,17504,1.9024223034734917
exp-idx-data-centers---it-services,ctrl-exp-idx-data-centers---it-services-p01,controle,3-5km,3.0,5.0,55992,3.4915702243177598
exp-to-host-data-centers,exp-to-host-data-centers,tratamento,0-0.5km,0.0,0.5,7873,9.996189508446589
exp-to-host-data-centers,exp-to-host-data-centers,tratamento,0.5-1km,0.5,1.0,23627,8.964320480805858
exp-to-host-data-centers,exp-to-host-data-centers,tratamento,1-2km,1.0,2.0,94494,4.872267022244799
exp-to-host-data-centers,exp-to-host-data-centers,tratamento,2-3km,2.0,3.0,157486,2.6529342290743303
exp-to-host-data-centers,exp-to-host-data-centers,tratamento,3-5km,3.0,5.0,503909,2.476836095406115
exp-to-host-data-centers,ctrl-exp-to-host-data-centers-p01,controle,0-0.5km,0.0,0.5,7873,0.038104915534103896
